id,current_name_en,current_name_fr,series,has_issue,issue_type,new_name_en,new_name_fr,notes
14b29d69-4cb6-42b9-9ba1-4fa25eb1df18,Asdriags,Asdriags,Against the Shadow,YES,NO_FR_TRANSLATION_EXPECTED,Asdriags,Asdriags,
fb9f4692-dfa5-442e-98e7-6a348bb09c7a,Bûrat,Bûrat,Against the Shadow,YES,FRENCH_CHARS_IN_EN,Bûrat,Bûrat,
41b62cea-d572-4faf-83d5-7fa27a570de1,Cirith Gorgor,Cirith Gorgor,Against the Shadow,YES,NO_FR_TRANSLATION_EXPECTED,Cirith Gorgor,Cirith Gorgor,
931ba65e-3299-4928-bfc7-bb80f2559a68,Corsairs of Rhûn,Corsaires de Rhûn,Against the Shadow,YES,FRENCH_CHARS_IN_EN,Corsairs of Rhûn,Corsaires de Rhûn,
0be5f835-e9b4-4c88-8b65-c6a7fa5567f2,Creature of and Older World,Creature of and Older World,Against the Shadow,YES,NO_FR_TRANSLATION_EXPECTED,Creature of and Older World,Créature d’un monde plus ancien,
89aaf478-4023-4b97-aaf1-3071d4853a9c,Drughu,Drughu,Against the Shadow,YES,NO_FR_TRANSLATION_EXPECTED,Drughu,Drughu,
19c98257-c759-43a4-b831-d289ed760d7b,Durin's Folk,Durin's Folk,Against the Shadow,YES,NO_FR_TRANSLATION_EXPECTED,Durin's Folk,Le peuple de Durin,
d4e2b29b-95bb-469d-9449-e634b258aa45,Dwarven Ring of Thrár's Tribe,Dwarven Ring of Thrár's Tribe,Against the Shadow,YES,NO_FR_TRANSLATION_EXPECTED,Dwarven Ring of Thrár's Tribe,Anneau Nain de la tribu de Thrár,
0ef9cf9c-aca4-4f00-b288-4e42a2ba20d8,Dwarven Ring of Thélor's Tribe ,Dwarven Ring of Thélor's Tribe ,Against the Shadow,YES,FRENCH_CHARS_IN_EN,Dwarven Ring of Thélor's Tribe ,Anneau Nain de la tribu de Thélor,
a5255d0a-f082-4993-bdcb-7a93e0af7f40,Eagles' Eyrie,Eagles' Eyrie,Against the Shadow,YES,NO_FR_TRANSLATION_EXPECTED,Eagles' Eyrie,Aire des Aigles,
09250388-6768-4095-8bc7-956bc9232aa6,Edhellond,Edhellond,Against the Shadow,YES,NO_FR_TRANSLATION_EXPECTED,Edhellond,Edhellond,
338369bc-6f4a-4dd0-bfdf-8ef0e46f385f,Eärcaraxë Roused,Eärcaraxë enragée,Against the Shadow,YES,FRENCH_CHARS_IN_EN,Eärcaraxë Roused,Eärcaraxë enragée,
bafd1df1-6bb5-4afe-a1fa-afb3e97dabb3,Galadhrim,Galadhrim,Against the Shadow,YES,NO_FR_TRANSLATION_EXPECTED,Galadhrim,Galadhrim,
057a4ad0-d184-4d36-be4d-a1aa2ccd081b,Geann a-Lisch,Geann a-Lisch,Against the Shadow,YES,NO_FR_TRANSLATION_EXPECTED,Geann a-Lisch,Geann a-Lisch,
