name_en,name_fr,series
Asdriags,Asdriags,Against the Shadow
Bûrat,Bûrat,Against the Shadow
Cirith Gorgor,Cirith Gorgor,Against the Shadow
Corsairs of Rhûn,Corsaires de Rhûn,Against the Shadow
Creature of and Older World,Creature of and Older World,Against the Shadow
Drughu,Drughu,Against the Shadow
Durin's Folk,Durin's Folk,Against the Shadow
Dwarven Ring of Thrár's Tribe,Dwarven Ring of Thrár's Tribe,Against the Shadow
Dwarven Ring of Thélor's Tribe ,Dwarven Ring of Thélor's Tribe ,Against the Shadow
Eagles' Eyrie,Eagles' Eyrie,Against the Shadow
Edhellond,Edhellond,Against the Shadow
Eärcaraxë Roused,Eärcaraxë enragée,Against the Shadow
Galadhrim,Galadhrim,Against the Shadow
Geann a-Lisch,Geann a-Lisch,Against the Shadow
Gobel Mírlond,Gobel Mírlond,Against the Shadow
Haradrim,Haradrim,Against the Shadow
Haradrim,Haradrim,Against the Shadow
Himring,Himring,Against the Shadow
Lórien,Lórien,Against the Shadow
Mîonid,Mîonid,Against the Shadow
Nûriags,Nûriags,Against the Shadow
Nûrniag Camp,Camp des Nûrniags,Against the Shadow
Nûrniags,Nûrniags,Against the Shadow
Perchen,Perchen,Against the Shadow
Rhosgobel,Rhosgobel,Against the Shadow
Steward's Guard,Steward's Guard,Against the Shadow
The Pûkel-deeps,Les Abîmes Biscornus,Against the Shadow
Thrór's Map,Thrór's Map,Against the Shadow
Tolfalas,Tolfalas,Against the Shadow
Tûma,Tûma,Against the Shadow
Wûluag,Wûluag,Against the Shadow
Adûnaphel Unleashed,Adûnaphel déchaînée,L'Oeil de Sauron
Adûnaphel the Ringwraith,Adûnaphel la Spectre,L'Oeil de Sauron
Akhôrahil Unleashed,Akhôrahil déchaîné,L'Oeil de Sauron
Akhôrahil the Ringwraith,Akhôrahil le Spectre,L'Oeil de Sauron
Amon Hen,Amon Hen,L'Oeil de Sauron
Asternak,Asternak,L'Oeil de Sauron
Balchoth,Balchoth,L'Oeil de Sauron
Barad-dûr,Barad-dûr,L'Oeil de Sauron
Belegorn,Belegorn,L'Oeil de Sauron
Bree,Bree,L'Oeil de Sauron
Brigands,Brigands,L'Oeil de Sauron
Calendal,Calendal,L'Oeil de Sauron
Cameth Brin,Cameth Brin,L'Oeil de Sauron
Carambor,Carambor,L'Oeil de Sauron
Carn Dûm,Carn Dûm,L'Oeil de Sauron
